Assist,Assist Outcome,Camera Angle,Chukka,Club,Country,Duration,Foul,Foul Outcome,Foul Type,Game,General Field Area,Goal,Highlight Reel,Instant Replay Official,Knock-in Player 2,Location,Match Date,Name,Penalties,Penalty Block,Penalty Outcome,Player,Position,Search Event,Set Play,Shot At Goal,Shot At Goal Outcome,Stage,Team,Third Umpire,Throw-in Outcome,Tournament,Tournament Handicap,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 60 yards,Blocking,Beverly Polo vs Aspen,Attacking Half,,,Unknown,,119;122,January 20. 2021,Foul Received (3),,,,Bill Ballhaus,3984100,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Beverly Polo,,Unknown,,72;2,January 20. 2021,Goal Beverly Polo (5),,,,Tolito Ocampo,4046367,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,15000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 60 yards,Penalty 60 yards,,Goal,Tolito Ocampo,4059633,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (10),,,,Peke Gonzalez,4093400,Search Livestream,Throw-in,,,Group,Beverly Polo,Horton Schwartz,Beverly Polo win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,96;29,January 20. 2021,Shot At Goal (16),,,,Stewart Armstrong,4101867,Search Livestream,,Shot At Goal,Goal,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Aspen,Goals,Unknown,,69;1,January 20. 2021,Goal Aspen (4),,,,Stewart Armstrong,4104800,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
Keko Magrini,Successful,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Assist (7),,,,Keko Magrini,4119800,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (11),,,,Stewart Armstrong,4162933,Search Livestream,Throw-in,,,Group,Aspen,Horton Schwartz,Aspen win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul,Penalty 60 yards,Blocking,Beverly Polo vs Aspen,Defending 30,,,Unknown,,30;276,January 20. 2021,Foul (10),,,,Stewart Armstrong,4255433,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,39;222,64;247,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 60 yards,Blocking,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,128;12,January 20. 2021,Foul Received (4),,,,Peke Gonzalez,4255433,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,40000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Knock In (9),,,,Lucas James,4261933,Search Livestream,Knock In,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,64;18,January 20. 2021,Shot At Goal (17),,,,Bill Ballhaus,4308733,Search Livestream,,Shot At Goal,Wide,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,15000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 60 yards (1),Penalty 60 yards,,Blocked,Tolito Ocampo,4326600,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking Half,,,Unknown,,90;84,January 20. 2021,Shot At Goal (18),,,,Peke Gonzalez,4347333,Search Livestream,,Shot At Goal,Wide,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,40000,,,,Beverly Polo vs Aspen,,,,Unknown,Stewart Armstrong,,January 20. 2021,Knock In (10),,,,Lucas James,4349667,Search Livestream,Knock In,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
Bill Ballhaus,Unsuccessful,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Assist (8),,,,Bill Ballhaus,4363933,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,40000,,,,Beverly Polo vs Aspen,,,,Unknown,Stewart Armstrong,,January 20. 2021,Knock In (11),,,,Lucas James,4393033,Search Livestream,Knock In,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 1,Dangerous Riding,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,85;16,January 20. 2021,Foul Received (5),,,,Keko Magrini,4417000,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul,Penalty 1,Dangerous Riding,Beverly Polo vs Aspen,Defending 30,,,Unknown,,66;280,January 20. 2021,Foul (11),,,,Tolito Ocampo,4417000,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,114;249,47;218,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Aspen,,Unknown,,74;2,January 20. 2021,Goal Aspen (5),,,,Keko Magrini,4430033,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,10000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 1,Penalty 1,,Goal,Keko Magrini,4455033,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5b (1),,,,Lucas James,4510667,Search Livestream,Penalty 5b,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 30 yards,Right of Way,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,99;18,January 20. 2021,Foul Received (6),,,,Keko Magrini,4528200,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,25000,Foul,Penalty 30 yards,Right of Way,Beverly Polo vs Aspen,Defending 30,,,Unknown,,51;281,January 20. 2021,Foul (12),,,,Tolito Ocampo,4528200,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,39;242,70;240,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Aspen,,Unknown,,76;3,January 20. 2021,Goal Aspen (6),,,,Lucas James,4568534,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 5,International Polo Club Palm Beach,USA,10000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 30 yards Spot (1),Penalty 30 yards Spot,,Goal,Lucas James,4593534,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (12),,,,Tolito Ocampo,4810033,Search Livestream,Throw-in,,,Group,Beverly Polo,Horton Schwartz,Beverly Polo win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,Non Call,,Right of Way,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (3),,,,,4863767,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,Foul,Penalty 5B,Dangerous Riding,Beverly Polo vs Aspen,Attacking 60,,,Unknown,,139;61,January 20. 2021,Foul (13),,,,Tolito Ocampo,4899000,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,130;106,45;70,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,82;18,January 20. 2021,Shot At Goal (19),,,,Lucas James,5064967,Search Livestream,,Shot At Goal,Blocked,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5b (2),,,,Lucas James,5071667,Search Livestream,Penalty 5b,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,Foul,Penalty 5B,Right of Way,Beverly Polo vs Aspen,Attacking 60,,,Unknown,,96;39,January 20. 2021,Foul (14),,,,Ignacio Arlbervide,5090733,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,44;51,118;12,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 5B,Right of Way,Beverly Polo vs Aspen,Defending 60,,,Unknown,,46;253,January 20. 2021,Foul Received (7),,,,Hilario Figueras,5090733,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,10000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Shot Block (2),,Shot Block,,Tolito Ocampo,5090833,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5b (3),,,,Hilario Figueras,5171338,Search Livestream,Penalty 5b,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,15000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Safety 60 (1),Safety 60,,Blocked,Lucas James,5312395,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,10000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty Block (1),,Penalty Block,,Hilario Figueras,5320800,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,80;24,January 20. 2021,Shot At Goal (20),,,,Keko Magrini,5343933,Search Livestream,,Shot At Goal,Goal,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Aspen,,Unknown,,73;2,January 20. 2021,Goal Aspen (7),,,,Keko Magrini,5346133,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,Non Call,,Blocking,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (4),,,,,5357900,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,78;20,January 20. 2021,Shot At Goal (21),,,,Hilario Figueras,5432600,Search Livestream,,Shot At Goal,Goal,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (13),,,,Tolito Ocampo,5433633,Search Livestream,Throw-in,,,Group,Beverly Polo,Horton Schwartz,Beverly Polo win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,Goal Beverly Polo,Goals,Unknown,,75;1,January 20. 2021,Goal Beverly Polo (6),,,,Hilario Figueras,5436133,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
Tolito Ocampo,Successful,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Assist (9),,,,Tolito Ocampo,5451133,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 2,International Polo Club Palm Beach,USA,20000,Non Call,,Right of Way,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (10),,,,,5452400,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Throw-in (14),,,,Bill Ballhaus,5494028,Search Livestream,Throw-in,,,Group,Beverly Polo,Horton Schwartz,Beverly Polo win throw-in,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,Foul,Penalty 5B,Riding Into Shot,Beverly Polo vs Aspen,Attacking Half,,,Unknown,,46;120,January 20. 2021,Foul (15),,,,Lucas James,5512433,Search Livestream,,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,93;102,144;124,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,25000,Foul Received,Penalty 5B,Riding Into Shot,Beverly Polo vs Aspen,Defending Half,,,Unknown,,105;174,January 20. 2021,Foul Received (8),,,,Peke Gonzalez,5512433,Search Livestream,,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,130;16,January 20. 2021,Shot At Goal (22),,,,Tolito Ocampo,5609200,Search Livestream,,Shot At Goal,Wide,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,30000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Penalty 5b (4),,,,Hilario Figueras,5611867,Search Livestream,Penalty 5b,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,35000,,,,Beverly Polo vs Aspen,Attacking 30,,,Unknown,,105;22,January 20. 2021,Shot At Goal (23),,,,Stewart Armstrong,5650867,Search Livestream,,Shot At Goal,Wide,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,40000,,,,Beverly Polo vs Aspen,,,,Unknown,Stewart Armstrong,,January 20. 2021,Knock In (12),,,,Lucas James,5651300,Search Livestream,Knock In,,,Group,Aspen,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,Non Call,,Crossing,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (5),,,,,5654467,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,20000,Non Call,,Crossing,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Non Call (6),,,,,5667100,Search Livestream,,,,Group,Team,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
,,Live,Chukka 6,International Polo Club Palm Beach,USA,40000,,,,Beverly Polo vs Aspen,,,,Unknown,,,January 20. 2021,Knock In (13),,,,Hilario Figueras,5695800,Search Livestream,Knock In,,,Group,Beverly Polo,Horton Schwartz,,Ylvisaker Cup,18,Kimo Huddleston,Ronnie Hayes,,,2021
