Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Foul (9),1392288,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,10;170,Defending Half,,,,,,Foul,Right of Way,,,Penalty 5,,
Foul Received (9),1392288,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,140;134,Attacking Half,,,,,,Foul Received,Right of Way,,,Penalty 5,,
Penalty 5 (2),1404157,30000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Penalty 5,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Assist (1),1405331,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Will Busch,JC Polo/Folded Hills,,,,,,,Unsuccessful,Will Busch,,,,,,,
Knock In (3),1420734,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,Remy Muller,,,
Shot At Goal (5),1426889,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Will Busch,JC Polo/Folded Hills,Shot At Goal,54;53,Attacking 60,Wide,,,,,,,,,,,
Assist (2),1444607,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,Unsuccessful,Jesse Bray,,,,,,,
Knock In (4),1459777,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Foul (10),1478563,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Remy Muller,Cavallo Ranch,,76;99,Attacking Half,,,,,,Foul,Right of Way,,,Penalty 60 yards,,
Foul Received (10),1478563,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,69;188,Defending Half,,,,,,Foul Received,Right of Way,,,Penalty 60 yards,,
Penalty 60 yards,1484014,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,Penalty 60 yards,Wide
Knock In (5),1497085,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,Remy Muller,,,
Goal JC Polo/Folded Hills (3),1518717,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Bayne Bossom,JC Polo/Folded Hills,,78;7,Attacking 30,,Goal JC Polo/Folded Hills,,,,,,,,,,
Foul (11),1532332,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Remy Muller,Cavallo Ranch,,51;286,Defending 30,,,,,,Foul,Crossing,,,Penalty 30 yards,,
Foul Received (11),1532332,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,96;8,Attacking 30,,,,,,Foul Received,Crossing,,,Penalty 30 yards,,
Shot At Goal (6),1535194,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Ben Soleimani,Cavallo Ranch,Shot At Goal,82;58,Attacking 60,Blocked,,,,,,,,,,,
Penalty 30 yards (1),1537566,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Bayne Bossom,JC Polo/Folded Hills,,,,,,,,,,,,,,Penalty 30 yards,Goal
Throw-in (2),1545818,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 5,2021,Cavallo Ranch win throw-in,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Shot Block (1),1566065,10000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,JC Polo/Folded Hills Player 4,JC Polo/Folded Hills,,,,,,,,,,,Shot Block,,,,
Safety 60,1567152,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Remy Muller,Cavallo Ranch,,,,,,,,,,,,,,Safety 60,Wide
Shot At Goal (7),1570985,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,90;22,Attacking 30,Wide,,,,,,,,,,,
Knock In (6),1578489,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Assist (3),1588520,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Unsuccessful,Tommy Alberdi,,,,,,,
Knock In (7),1602655,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,Bayne Bossom,,,
Foul Received (12),1621575,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Ben Soleimani,Cavallo Ranch,,71;130,Attacking Half,,,,,,Foul Received,Riding Into Shot,,,Penalty 60 yards,,
Foul (12),1621608,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,76;133,Attacking Half,,,,,,Foul,Riding Into Shot,,,Penalty 60 yards,,
Penalty 60 yards (1),1627893,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,Penalty 60 yards,Wide
Knock In (8),1638146,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,Bayne Bossom,,,
Shot At Goal (8),1660378,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,52;43,Attacking 60,Wide,,,,,,,,,,,
Knock In (9),1690931,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 5,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,Bayne Bossom,,,
Shot At Goal (9),1696452,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,John Bickford,Cavallo Ranch,Shot At Goal,55;17,Attacking 30,Goal,,,,,,,,,,,
Goal Cavallo Ranch (6),1697870,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,John Bickford,Cavallo Ranch,,78;7,Attacking 30,,Goal Cavallo Ranch,Goals,,,,,,,,,
Assist (4),1713320,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 5,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Successful,Tommy Alberdi,,,,,,,
Throw-in (3),1727489,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 6,2021,Cavallo Ranch win throw-in,Ben Soleimani,Cavallo Ranch,,,,,,,,,,,,,,,
Shot At Goal (10),1741332,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Ben Soleimani,Cavallo Ranch,Shot At Goal,57;57,Attacking 60,Wide,,,,,,,,,,,
Assist (5),1762953,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,Unsuccessful,Tommy Alberdi,,,,,,,
Knock In (10),1774770,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 6,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,Bayne Bossom,,,
Shot At Goal (11),1786012,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Tommy Alberdi,Cavallo Ranch,Shot At Goal,93;22,Attacking 30,Wide,,,,,,,,,,,
Free Hit,1799938,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Free Hit,Chukka 6,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,,,,
Shot At Goal (12),1813180,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Remy Muller,Cavallo Ranch,Shot At Goal,82;7,Attacking 30,Goal,,,,,,,,,,,
Goal Cavallo Ranch (7),1814231,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Remy Muller,Cavallo Ranch,,82;6,Attacking 30,,Goal Cavallo Ranch,,,,,,,,,,
Knock In (11),1815931,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 6,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Shot At Goal (13),1839931,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,92;18,Attacking 30,Blocked,,,,,,,,,,,
Throw-in (4),1844184,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 6,2021,JC Polo/Folded Hills win throw-in,Bayne Bossom,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Shot Block (2),1865548,10000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Remy Muller,Cavallo Ranch,,,,,,,,,,,Shot Block,,,,
Non Call (5),1866804,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,,Team,,,,,,,,,Non Call,Right of Way,,,,,
Knock In (12),1869067,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 6,2021,,Ben Soleimani,Cavallo Ranch,,,,,,,,,,,,,,,
Shot At Goal (14),1969801,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,73;17,Attacking 30,Goal,,,,,,,,,,,
Goal JC Polo/Folded Hills (4),1971802,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Jesse Bray,JC Polo/Folded Hills,,73;6,Attacking 30,,Goal JC Polo/Folded Hills,Goals,,,,,,,,,
Shot At Goal (15),1987413,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Will Busch,JC Polo/Folded Hills,Shot At Goal,62;20,Attacking 30,Miss Hit,,,,,,,,,,,
Throw-in (5),2000238,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Throw-in,Chukka 6,2021,JC Polo/Folded Hills win throw-in,Will Busch,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Goal JC Polo/Folded Hills (5),2000622,34410,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Will Busch,JC Polo/Folded Hills,,73;4,Attacking 30,,Goal JC Polo/Folded Hills,,,,,,,,,,
Safety 60 (1),2017353,15000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 6,2021,,Will Busch,JC Polo/Folded Hills,,,,,,,,,,,,,,Safety 60,Goal