Name,Position,Duration,Tournament,Game,Stage,Match Date,Third Umpire,Umpire 2,Search Event,Club,Umpire 1,Instant Replay Official,Camera Angle,Year,Chukka,Foul,Team,Player,Location,General Field Area,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Assist Outcome,Assist,Penalty Block,Highlight Reel,Penalties,Penalty Outcome,Fouler
Foul (13),5472333,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul,Cessna,Nicolas ‘Nico’ Saenz,7;51,Attacking 60,Delay of Game,Penalty 5,19;76,86;52,,,,,,,,,,,,,,
Non Call (3),5506200,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Non Call,Team,,,,Right of Way,,,,,,,,,,,,,,,,,
Penalty 5 (5),5507333,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Jeff Hall,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul (14),5536033,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,82;283,Defending 30,Right of Way,Penalty 1,21;220,71;179,,,,,,,,,,,,,,
Foul Received (14),5536033,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul Received,La Indiana,Joaquin Avendano,66;16,Attacking 30,Right of Way,Penalty 1,,,,,,,,,,,,,,,,
Goal La Indiana (8),5550900,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Joaquin Avendano,,,,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 1,5575900,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Joaquin Avendano,,,,,,,,,,,,,,,,,,Penalty 1,Goal,Ezequiel ‘Gallego’ Martinez Ferrario
Shot At Goal (23),5593533,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Polito Pieres,132;27,Attacking 30,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5b (4),5607300,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Polito Pieres,,,,,,,,,Penalty 5b,,,,,,,,,,,
Knock In (9),5638670,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Felipe Marquez,,,,,,,,,Knock In,,,,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,
Shot At Goal (24),5673666,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Jeff Hall,78;27,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (9),5675500,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Jeff Hall,,,,,,,,Goal La Indiana,,,,,,,,,,,,
Assist (13),5690500,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Polito Pieres,,,,,,,,,,,,,,Successful,Polito Pieres,,,,,
Throw-in (13),5731633,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Polito Pieres,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Foul Received (15),5752366,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul Received,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,90;22,Attacking 30,Blocking,Penalty 30 yards,,,,,,,,,,,,,,,,
Foul (15),5752366,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul,La Indiana,Jeff Hall,60;276,Defending 30,Blocking,Penalty 30 yards,37;268,74;209,,,,,,,,,,,,,,
Goal Cessna (5),5774766,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,Goal Cessna,,,,,,,,,,,,
Penalty 30 yards Spot (1),5798482,10000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,
Foul Received (16),5825433,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul Received,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,30;125,Attacking Half,Right of Way,Penalty 5,,,,,,,,,,,,,,,,
Foul (16),5825433,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul,La Indiana,Jeff Hall,139;181,Defending Half,Right of Way,Penalty 5,103;185,70;147,,,,,,,,,,,,,,
Throw-in (14),5827633,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Shot At Goal (25),5859366,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,137;81,Attacking Half,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5 (6),5867866,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Knock In (10),5905066,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Jeff Hall,,,,,,,,,Knock In,,,,Polito Pieres,,,,,,,
Shot At Goal (26),5905700,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Joaquin Avendano,39;24,Attacking 30,,,,,,,,,Shot At Goal,Short,,,,,,,,
Assist (14),5922633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Polito Pieres,,,,,,,,,,,,,,Unsuccessful,Polito Pieres,,,,,
Foul Received (17),5934700,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul Received,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,28;274,Defending 30,Dangerous Riding,Penalty 5,,,,,,,,,,,,,,,,
Foul (17),5934700,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Foul,La Indiana,Polito Pieres,116;33,Attacking 30,Dangerous Riding,Penalty 5,124;90,41;52,,,,,,,,,,,,,,
Penalty 5 (7),5983891,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Non Call (4),6000666,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,Non Call,Team,,,,Right of Way,,,,,,,,,,,,,,,,,
Shot At Goal (27),6044066,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,Cessna,Nicolas ‘Nico’ Saenz,130;27,Attacking 30,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Knock In (11),6058500,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 5,,La Indiana,Jeff Hall,,,,,,,,,Knock In,,,,,,,,,,,
Knock In (12),6301833,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Jeff Hall,,,,,,,,,Knock In,,,,,,,,,,,
Chukka Length (6),6303800,779433,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Team,,,,,,,,Chukka Length,,,,,,,,,,,,,
Shot At Goal (28),6334900,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Santiago Gomez Romero,88;25,Attacking 30,,,,,,,,,Shot At Goal,Miss Hit,,,,,,,,
Foul (18),6369100,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,La Indiana,Jeff Hall,78;57,Attacking 60,Riding Into Shot,Penalty 5,21;63,98;80,,,,,,,,,,,,,,
Foul Received (18),6369766,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,Cessna,Felipe Marquez,72;239,Defending 60,Riding Into Shot,Penalty 5,,,,,,,,,,,,,,,,
Penalty 5 (8),6411733,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul Received (19),6420766,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,30;181,Defending Half,Near Side,Penalty 60 yards,,,,,,,,,,,,,,,,
Foul (19),6420766,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,La Indiana,Jeff Hall,112;115,Attacking Half,Near Side,Penalty 60 yards,40;112,133;116,,,,,,,,,,,,,,
Penalty 60 yards (2),6493600,15000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,,,,,Penalty 60 yards,Wide,
Knock In (13),6514800,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Jeff Hall,,,,,,,,,Knock In,,,,Polito Pieres,,,,,,,
Foul Received (20),6523000,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,Cessna,Felipe Marquez,18;79,Attacking Half,Right of Way,Penalty 30 yards,,,,,,,,,,,,,,,,
Foul (20),6523000,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,La Indiana,Polito Pieres,141;218,Defending Half,Right of Way,Penalty 30 yards,81;159,141;202,,,,,,,,,,,,,,
Goal Cessna (6),6576366,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,Goal Cessna,,,,,,,,,,,,
Penalty 30 yards (3),6595133,15000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (15),6639966,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Foul (21),6657600,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,35;93,Attacking Half,Riding Into Shot,Penalty 5,36;103,133;67,,,,,,,,,,,,,,
Foul Received (21),6657600,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,La Indiana,Polito Pieres,124;189,Defending Half,Riding Into Shot,Penalty 5,,,,,,,,,,,,,,,,
Non Call (5),6691500,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Non Call,Team,,,,Right of Way,,,,,,,,,,,,,,,,,
Penalty 5 (9),6693500,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Jeff Hall,,,,,,,,,Penalty 5,,,,,,,,,,,
Foul Received (22),6710400,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,Cessna,Nicolas ‘Nico’ Saenz,80;72,Attacking 60,Blocking,Penalty 40 yards,,,,,,,,,,,,,,,,
Foul (22),6710400,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,La Indiana,Polito Pieres,82;227,Defending Half,Blocking,Penalty 40 yards,41;177,126;192,,,,,,,,,,,,,,
Penalty 40 yards,6774766,15000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Nicolas ‘Nico’ Saenz,,,,,,,,,,,,,,,,,,Penalty 40 yards,Wide,
Knock In (14),6797400,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Polito Pieres,,,,,,,,,Knock In,,,,Jeff Hall,,,,,,,
Free Hit (2),6824500,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Free Hit,,,,,,,,,,,
Foul Received (23),6837633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul Received,Cessna,Felipe Marquez,7;112,Attacking Half,Blocking,Penalty 5,,,,,,,,,,,,,,,,
Foul (23),6837633,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,Foul,La Indiana,Joaquin Avendano,148;204,Defending Half,Blocking,Penalty 5,73;193,,,,,,,,,,,,,,,
Shot At Goal (29),6882933,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,14;115,Attacking Half,,,,,,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5 (10),6907900,30000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Penalty 5,,,,,,,,,,,
Knock In (15),6930233,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Polito Pieres,,,,,,,,,Knock In,,,,Jeff Hall,,,,,,,
Shot At Goal (30),6940967,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Polito Pieres,114;25,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (10),6943566,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Polito Pieres,,,,,,,,Goal La Indiana,,,,,,,,,Goals,,,
Assist (15),6958566,25000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,La Indiana,Jeff Hall,,,,,,,,,,,,,,Successful,Jeff Hall,,,,,
Throw-in (16),7001500,20000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Throw-in,Cessna win throw-in,,,,,,,,,,
Goal Cessna (7),7042500,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,,,,,,,,Goal Cessna,,,,,,,,,,,,
Shot At Goal (31),7042500,35000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Ezequiel ‘Gallego’ Martinez Ferrario,80;13,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,,,,,,
Knock In (16),7043852,40000,C.V. Whitney Cup,Cessna vs La Indiana,Group,February 16. 2020,Unknown,Unknown,Search Livestream,International Polo Club,Unknown,Unknown,Live,2020,Chukka 6,,Cessna,Felipe Marquez,,,,,,,,,Knock In,,,,,,,,,,,