Name,Position,Duration,Tournament,Match Date,Umpire 1,Umpire 2,Stage,Game,Camera Angle,Third Umpire,Chukka,Search Event,Year,Club,Instant Replay Official,Set Play,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Knock-in Player 2,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Umpire Trailing,Umpire Focal,Foul Outcome,Penalties,Penalty Outcome,Penalty Block,Collision
Throw-in,449500,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Chukka Length,449500,598166,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Game Length,449500,6480066,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Shot At Goal,451366,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Julian de Lusarreta,Coca-Cola,,Shot At Goal,Attacking 60,69;74,Wide,,,,,,,,,,,,,,
Knock In,499566,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Mariano Gonzalez,Equuleus,,,,,,Inaki Laprida,,,,,,,,,,,,,
Shot At Goal (1),508833,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,Shot At Goal,Attacking 30,71;36,Goal,,,,,,,,,,,,,,
Goal Coca-Cola,511933,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,,Attacking 30,73;7,,,Goal Coca-Cola,Goals,,,,,,,,,,,
Assist,528333,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,,,,,,,Successful,Nicolas Pieres,,,,,,,,,
Foul,563866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Defending Half,110;163,,,,,,,Foul,Reaching,116;161,30;163,Penalty 5,,,,
Foul Received,563866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Mariano Gonzalez,Equuleus,,,Attacking Half,33;131,,,,,,,Foul Received,Reaching,,,Penalty 5,,,,
Throw-in (1),563933,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),603966,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,Shot At Goal,Attacking 30,76;16,Goal,,,,,,,,,,,,,,
Goal Equuleus,605200,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,Attacking 30,72;4,,,Goal Equuleus,,,,,,,,,,,,
Penalty 5,612000,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Penalty 5,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Assist (1),621400,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,,,,,,,Successful,Inaki Laprida,,,,,,,,,
Throw-in (2),675933,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,,,,
Shot At Goal (3),700733,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,Shot At Goal,Attacking 30,67;13,Goal,,,,,,,,,,,,,,
Goal Coca-Cola (1),701633,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking 30,71;4,,,Goal Coca-Cola,,,,,,,,,,,,
Throw-in (3),760833,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Magoo Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Foul Received (1),811166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking 60,139;54,,,,,,,Foul Received,Right of Way,,,Penalty 60 yards,,,,
Foul (1),811166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Defending 60,14;239,,,,,,,Foul,Right of Way,81;216,21;207,Penalty 60 yards,,,,
Penalty 60 yards,908700,15000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,
Penalty Block,915266,10000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,,,Penalty Block,
Shot At Goal (4),919900,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 30,134;35,Goal,,,,,,,,,,,,,,
Goal Equuleus (1),923300,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,71;3,,,Goal Equuleus,,,,,,,,,,,,
Assist (2),940166,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,,,,,,,Successful,Magoo Laprida,,,,,,,,,
Throw-in (4),978566,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Steve Krueger,Coca-Cola,,,,,,,,,,,,,,,,,,,
Shot At Goal (5),992233,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 30,72;17,Wide,,,,,,,,,,,,,,
Assist (3),1008900,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 1,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,,,,,,,Unsuccessful,Magoo Laprida,,,,,,,,,
Chukka Length (1),1238466,539370,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Knock In (1),1241076,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Shot At Goal (6),1244633,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,Shot At Goal,Attacking 30,44;26,Short,,,,,,,,,,,,,,
Non Call,1255933,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,,Team,,,,,,,,,,,Non Call,Blocking,,,,,,,
Foul Received (2),1326466,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,,Defending 30,87;279,,,,,,,Foul Received,Reaching,,,Penalty 5,,,,
Foul (2),1326466,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,54;24,,,,,,,Foul,Reaching,109;54,18;48,Penalty 5,,,,
Shot At Goal (7),1367666,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,Shot At Goal,Attacking Half,81;103,Short,,,,,,,,,,,,,,
Penalty 5 (1),1370400,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Penalty 5,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Non Call (1),1413666,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,,Team,,,,,,,,,,,Non Call,Riding Into Shot,,,,,,,
Shot At Goal (8),1431066,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Gillian Johnston,Coca-Cola,,Shot At Goal,Attacking 30,79;20,Wide,,,,,,,,,,,,,,
Knock In (2),1478133,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Mariano Gonzalez,Equuleus,,,,,,Magoo Laprida,,,,,,,,,,,,,
Foul Received (3),1501500,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking Half,78;101,,,,,,,Foul Received,Turning,,,Penalty 40 yards,,,,
Foul (3),1501500,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Defending Half,74;192,,,,,,,Foul,Turning,116;193,38;179,Penalty 40 yards,,,,
Penalty 40 yards,1566540,15000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,Penalty 40 yards,Wide,,
Knock In (3),1587366,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Knock In (4),1640466,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Julian de Lusarreta,Coca-Cola,,,,,,Nicolas Pieres,,,,,,,,,,,,,
Shot At Goal (9),1660333,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 30,52;26,Goal,,,,,,,,,,,,,,
Goal Equuleus (2),1662433,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,78;4,,,Goal Equuleus,,,,,,,,,,,,
Shot At Goal (10),1703666,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,Shot At Goal,Attacking Half,69;76,Goal,,,,,,,,,,,,,,
Goal Equuleus (3),1708433,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,,Attacking 30,74;6,,,Goal Equuleus,Goals,,,,,,,,,,,
Throw-in (5),1719066,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 2,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Magoo Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Throw-in (6),1964966,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Chukka Length (2),1967900,252666,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Foul Received (4),2009866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Defending Half,129;204,,,,,,,Foul Received,Dangerous Riding,,,Penalty 5B,,,,
Foul (4),2009866,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking Half,19;88,,,,,,,Foul,Dangerous Riding,116;112,3;95,Penalty 5B,,,,
Penalty 5b,2057533,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Penalty 5b,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Foul (5),2137000,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking Half,12;117,,,,,,,Foul,Right of Way,121;118,23;97,Penalty 60 yards,,,,
Foul Received (5),2137000,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Mariano Gonzalez,Equuleus,,,Defending Half,141;198,,,,,,,Foul Received,Right of Way,,,Penalty 60 yards,,,,
Penalty 60 yards (1),2201166,15000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,
Penalty Block (1),2208433,10000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Steve Krueger,Coca-Cola,,,,,,,,,,,,,,,,,,Penalty Block,
Injury Time,2223700,90150,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Injury Time,,,,,,,,,,,,,,,,,,
Shot At Goal (11),2311866,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,Shot At Goal,Attacking 60,63;45,Short,,,,,,,,,,,,,,
Shot At Goal (12),2314933,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Magoo Laprida,Equuleus,,Shot At Goal,Attacking 30,94;15,Post,,,,,,,,,,,,,,
Throw-in (7),2315033,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Chukka Length (3),2316266,505700,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal (13),2318633,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 30,82;13,Goal,,,,,,,,,,,,,,
Goal Equuleus (4),2319600,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,73;7,,,Goal Equuleus,,,,,,,,,,,,
Throw-in (8),2392200,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Equuleus win throw-in,Inaki Laprida,Equuleus,,,,,,,,,,,,,,,,,,,
Foul Received (6),2411566,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Defending 60,69;243,,,,,,,Foul Received,Right of Way,,,Penalty 5,,,,
Foul (6),2411566,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 60,68;58,,,,,,,Foul,Right of Way,135;118,58;111,Penalty 5,,,,
Penalty 5 (2),2449706,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Penalty 5,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Foul Received (7),2470633,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Julian de Lusarreta,Coca-Cola,,,Defending 30,98;280,,,,,,,Foul Received,Dangerous Use of Mallet,,,Penalty 1,,,,
Foul (7),2470633,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,,Attacking 30,52;15,,,,,,,Foul,Dangerous Use of Mallet,79;53,16;63,Penalty 1,,,,
Goal Coca-Cola (2),2482400,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Julian de Lusarreta,Coca-Cola,,,Attacking 30,71;3,,,Goal Coca-Cola,,,,,,,,,,,,
Penalty 1,2507400,10000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,Penalty 1,Goal,,
Shot At Goal (14),2563466,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,Shot At Goal,Attacking 30,82;7,Goal,,,,,,,,,,,,,,
Goal Coca-Cola (3),2564000,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking 30,73;6,,,Goal Coca-Cola,,,,,,,,,,,,
Penalty 5b (1),2575300,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Penalty 5b,,Julian de Lusarreta,Coca-Cola,,,,,,,,,,,,,,,,,,,
Throw-in (9),2647466,20000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Throw-in,Coca-Cola win throw-in,Nicolas Pieres,Coca-Cola,,,,,,,,,,,,,,,,,,,
Foul (8),2682633,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Nicolas Pieres,Coca-Cola,,,Attacking Half,12;130,,,,,,,Foul,Right of Way,78;138,11;121,Penalty 5,,,,
Foul Received (8),2682633,25000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Mariano Gonzalez,Equuleus,,,Defending Half,138;167,,,,,,,Foul Received,Right of Way,,,Penalty 5,,,,
Penalty 5 (3),2724333,30000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,Penalty 5,,Mariano Gonzalez,Equuleus,,,,,,,,,,,,,,,,,,,
Shot At Goal (15),2756433,35000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 3,Search Livestream,2020,International Polo Club,Unknown,,,Inaki Laprida,Equuleus,,Shot At Goal,Attacking 60,69;74,Wide,,,,,,,,,,,,,,
Knock In (5),3810400,40000,USPA Gold Cup,March 08. 2020,Unknown,Unknown,Group,Coca-Cola vs Equuleus,Live,Unknown,Chukka 4,Search Livestream,2020,International Polo Club,Unknown,Knock In,,Julian de Lusarreta,Coca-Cola,,,,,,Nicolas Pieres,,,,,,,,,,,,,
