Name,Position,Duration,Tournament,Umpire 1,Game,Umpire 2,Match Date,Stage,Instant Replay Official,Third Umpire,Chukka,Camera Angle,Year,Set Play,Search Event,Club,Throw-in Outcome,Team,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Chukka Length,Penalty Block,Collision
Yellow Card,4950800,10000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,,,,Yellow Card,Dangerous Use of Mallet,,,,,,,,,,,,
Yellow Card (1),4959266,10000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,,,,Yellow Card,Dangerous Use of Mallet,,,,,,,,,,,,
Penalty 40 yards (2),5043466,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,,
Goal Postage Stamp Farm (8),5024633,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Attacking 30,76;3,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Foul (18),5080566,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Defending Half,49;152,,Foul,Improper Procedure,Penalty 5,26;143,110;148,,,,,,,,,
Penalty 5 (7),5111033,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Penalty 5,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Shot At Goal (20),5183233,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,Shot At Goal,Blocked,Attacking 60,80;58,,,,,,,,,,,,,,,
Shot Block,5214766,10000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,Shot Block,
Foul (19),5224233,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Attacking Half,7;118,,Foul,Turning,Penalty 5B,7;81,61;102,,,,,,,,,
Foul Received (18),5224233,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,Defending Half,146;183,,Foul Received,Turning,Penalty 5B,,,,,,,,,,,
Penalty 5b (2),5337833,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Penalty 5b,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Collision,5341433,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,,,,,,,,,,,,,,,,,Collision
Injury Time (1),5346200,315933,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Injury Time,,
Foul (20),5335166,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,Defending Half,73;184,,Foul,Dangerous Riding,Penalty 40 yards,12;190,73;131,,,,,,,,,
Foul Received (19),5335166,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,Attacking Half,73;104,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,,,,,,
Penalty 40 yards (3),5695866,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,,
Goal Daily Racing Form (7),5677533,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking 30,72;7,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (15),5732083,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,,,,,,,,,,,
Shot At Goal (21),5726200,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,Shot At Goal,Goal,Attacking 30,73;17,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (9),5727466,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,Attacking 30,77;4,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Throw-in (16),5784366,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,,,,,,,,,,,
Foul (21),5781100,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking Half,77;136,,Foul,Dangerous Riding,Penalty 60 yards,21;153,123;172,,,,,,,,,
Foul Received (20),5781100,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Defending Half,62;159,,Foul Received,Dangerous Riding,Penalty 60 yards,,,,,,,,,,,
Penalty 60 yards (4),5884800,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Penalty 60 yards,Wide,,,,,,,
Knock In (9),5904166,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Knock In,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,Agustin Obregon,,,,
Free Hit (1),5940300,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,Free Hit,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,,,,,,,,,,,
Foul (22),5955800,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Attacking Half,118;107,,Foul,Dangerous Riding,Penalty 5B,67;116,144;167,,,,,,,,,
Foul Received (21),5955800,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,Defending Half,19;201,,Foul Received,Dangerous Riding,Penalty 5B,,,,,,,,,,,
Penalty 5b (3),6547833,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,Penalty 5b,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,,,,
Foul (23),6584833,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Defending Half,72;198,,Foul,Right of Way,Penalty 30 yards,10;170,128;195,,,,,,,,,
Foul Received (22),6584833,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,Attacking Half,78;106,,Foul Received,Right of Way,Penalty 30 yards,,,,,,,,,,,
Non Call (5),6583033,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,Non Call,Riding Into Shot,,,,,,,,,,,,
Penalty 30 yards (3),6644166,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Goal Daily Racing Form (8),6626200,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking 30,76;6,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (17),6688866,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Annabelle Gundlach,,,,,,,,,,,,,,,,,,,
Non Call (6),6728400,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,Non Call,Riding Into Shot,,,,,,,,,,,,
Foul (24),6790133,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Defending Half,76;206,,Foul,1 Meeting 2,Penalty 30 yards,25;168,139;203,,,,,,,,,
Foul Received (23),6790133,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Attacking Half,74;107,,Foul Received,1 Meeting 2,Penalty 30 yards,,,,,,,,,,,
Penalty 30 yards (4),6855333,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Goal Daily Racing Form (9),6837700,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking 30,77;3,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (18),6895400,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,,,,,,
Foul (25),6905033,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,Defending Half,76;168,,Foul,Blocking,Penalty 40 yards,123;186,26;162,,,,,,,,,
Foul Received (24),6905033,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,Attacking Half,78;135,,Foul Received,Blocking,Penalty 40 yards,,,,,,,,,,,
Penalty 40 yards (4),7008966,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,,
Goal Postage Stamp Farm (10),6990766,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Attacking 30,78;6,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Throw-in (19),7044233,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,,,,
Shot At Goal (22),7033666,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,Shot At Goal,Wide,Attacking 60,86;43,,,,,,,,,,,,,,,
Assist (4),7049900,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,,,Unsuccessful,Lerin Zubiaurre,,,,,
Knock In (10),7082624,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,Knock In,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Shot At Goal (23),7166933,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,Shot At Goal,Goal,,,,,,,,,,,,,,,,,
Goal Daily Racing Form (10),7211266,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,Attacking 30,73;4,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (20),7430733,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,,,,,,,,,,,
Non Call (7),7436033,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,,,,
Shot At Goal (23),7441600,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,Shot At Goal,Goal,Attacking 30,82;9,,,,,,,,,,,,,,,
Goal Daily Racing Form (11),7442033,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Attacking 30,81;7,Goal Daily Racing Form,,,,,,,,,,,Goals,,,
Assist (5),7459366,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,,,,,,,,,,,Successful,Costi Caset,,,,,
Chukka Length,7430733,102366,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 7,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Game Length,290366,7216766,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Game Length,,
Chukka Length (1),290366,918200,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (2),1365200,581300,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (3),2170766,704200,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 3,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (4),3352166,853100,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 4,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (5),4365700,324733,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (6),4950800,396033,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (7),5695866,315666,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 5,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,
Chukka Length (8),6551966,805000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 6,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,,,,,,,,,,,,Chukka Length,,