Name,Position,Duration,Tournament,Game,Stage,Third Umpire,Search Event,Match Date,Instant Replay Official,Umpire 1,Umpire 2,Camera Angle,Year,Club,Chukka Length,Team,Set Play,Chukka,Throw-in Outcome,Player,Foul,Foul Type,Location,General Field Area,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Collision,Penalty Block,Fouler
Game Length,397833,6910066,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Game Length,Team,,,,,,,,,,,,,,,,,,,,,,,
Throw-in,397833,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 1,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,,
Chukka Length,399933,769333,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Non Call,423366,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 1,,,Non Call,Right of Way,,,,,,,,,,,,,,,,,
Foul,441133,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul,Riding Into Shot,28;208,Defending Half,Penalty 40 yards,10;189,77;226,,,,,,,,,,,,
Foul Received,441133,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,Foul Received,Riding Into Shot,132;86,Attacking Half,Penalty 40 yards,,,,,,,,,,,,,,
Goal Dutta Corp,546366,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,,,76;3,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 40 yards,561926,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,,,,,,,,,Penalty 40 yards,Goal,,,,,,,,,
Throw-in (1),595366,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 1,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,,
Foul Received (1),602766,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul Received,Meeting the Ball,120;98,Attacking Half,Penalty 30 yards,,,,,,,,,,,,,,
Foul (1),602833,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Lucas Diaz Alberdi,Foul,Meeting the Ball,23;193,Defending Half,Penalty 30 yards,13;175,73;215,,,,,,,,,,,,
Goal La Indiana,649500,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,,,78;6,Attacking 30,,,,Goal La Indiana,,,,,,,,,,,
Penalty 30 yards,667366,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Shot At Goal,709466,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Lucas Diaz Alberdi,,,134;65,Attacking 60,,,,,,,Shot At Goal,Wide,,,,,,,
Throw-in (2),713600,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 1,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,,
Assist,725666,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,,,
Knock In,759266,40000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Knock In,Chukka 1,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Foul (2),761233,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Mariano Obregon,Foul,Dangerous Riding,62;30,Attacking 30,Penalty 5B,60;3,130;53,,,,,,,,,,,,
Foul Received (2),761233,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,Foul Received,Dangerous Riding,92;257,Defending 60,Penalty 5B,,,,,,,,,,,,,,
Shot At Goal (1),840966,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,,,56;47,Attacking 60,,,,,,,Shot At Goal,Blocked,,,,,,,
Penalty 5b,847733,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5b,Chukka 1,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Assist (1),857300,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Santiago Gomez Romero,,,,,,,,,,,,,Unsuccessful,Santiago Gomez Romero,,,,,
Foul (3),864933,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul,Right of Way,88;52,Attacking 60,Penalty 5B,79;131,101;68,,,,,,,,,,,,
Foul Received (3),864933,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Facundo Obregon,Foul Received,Right of Way,58;256,Defending 60,Penalty 5B,,,,,,,,,,,,,,
Penalty 5b (1),930033,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Penalty 5b,Chukka 1,,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),981933,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Timmy Dutta,,,135;67,Attacking 60,,,,,,,Shot At Goal,Wide,,,,,,,
Knock In (1),1028800,40000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Knock In,Chukka 1,,Santiago Gomez Romero,,,,,,,,,,,,,,,Polito Pieres,,,,
Shot At Goal (3),1033900,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,,,90;17,Attacking 30,,,,,,,Shot At Goal,Goal,,,,,,,
Goal La Indiana (1),1036100,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Polito Pieres,,,74;3,Attacking 30,,,,Goal La Indiana,,,,,,,,Goals,,,
Assist (2),1051100,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Santiago Gomez Romero,,,,,,,,,,,,,Successful,Santiago Gomez Romero,,,,,
Throw-in (3),1108500,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 1,La Indiana win throw-in,Jeff Hall,,,,,,,,,,,,,,,,,,,
Foul Received (4),1147400,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 1,,Lucas Diaz Alberdi,Foul Received,Uneven Ride-Off,90;113,Attacking Half,Penalty 30 yards,,,,,,,,,,,,,,
Foul (4),1149800,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 1,,Jeff Hall,Foul,Uneven Ride-Off,69;185,Defending Half,Penalty 30 yards,77;140,143;172,,,,,,,,,,,,
Yellow Card,1341100,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Jeff Hall,Yellow Card,Uneven Ride-Off,,,Penalty 30 yards,,,,,,,,,,,,,,
Chukka Length (1),1343200,294500,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 2,,,,,,,,,,,,,,,,,,,,,
Goal Dutta Corp (1),1396233,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,,,80;1,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 30 yards (1),1412466,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Throw-in (4),1446433,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Throw-in,Chukka 2,Dutta Corp win throw-in,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Foul (5),1494700,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Mariano Obregon,Foul,Cross/High Hook,21;286,Defending 30,Penalty 30 yards,11;215,80;245,,,,,,,,,,,,
Foul Received (5),1494700,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Polito Pieres,Foul Received,Cross/High Hook,131;17,Attacking 30,Penalty 30 yards,,,,,,,,,,,,,,
Penalty 30 yards (2),1576900,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Polito Pieres,,,,,,,,,Penalty 30 yards,Wide,,,,,,,,,
Knock In (2),1601900,40000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,Knock In,Chukka 2,,Facundo Obregon,,,,,,,,,,,,,,,Mariano Obregon,,,,
Foul (6),1619800,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Jeff Hall,Foul,Dangerous Riding,36;238,Defending 60,Penalty 30 yards,9;206,80;225,,,,,,,,,,,,
Foul Received (6),1620333,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Mariano Obregon,Foul Received,Dangerous Riding,123;70,Attacking 60,Penalty 30 yards,,,,,,,,,,,,,,
Collision,1631566,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Mariano Obregon,,,,,,,,,,,,,,,,,Collision,,
Injury Time,1637700,206166,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Injury Time,Team,,Chukka 2,,,,,,,,,,,,,,,,,,,,,
Yellow Card (1),1840000,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Jeff Hall,Yellow Card,Dangerous Riding,,,Penalty 30 yards,,,,,,,,,,,,,,
Chukka Length (2),1843866,368147,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Chukka Length,Team,,Chukka 2,,,,,,,,,,,,,,,,,,,,,
Goal Dutta Corp (2),1876500,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,,,76;3,Attacking 30,,,,Goal Dutta Corp,,,,,,,,,,,
Penalty 30 yards (3),1893933,15000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Throw-in (5),1929333,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Throw-in,Chukka 2,La Indiana win throw-in,Polito Pieres,,,,,,,,,,,,,,,,,,,
Foul (7),1929433,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Timmy Dutta,Foul,Riding Into Shot,43;135,Attacking Half,Penalty 5B,12;116,80;139,,,,,,,,,,,,
Foul Received (7),1929433,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Polito Pieres,Foul Received,Riding Into Shot,115;168,Defending Half,Penalty 5B,,,,,,,,,,,,,,
Penalty 5b (2),1977933,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5b,Chukka 2,,Polito Pieres,,,,,,,,,,,,,,,,,,,
Foul (8),2019533,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Timmy Dutta,Foul,Crossing,96;75,Attacking 60,Penalty 5,16;71,93;109,,,,,,,,,,,,
Foul Received (8),2019533,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Santiago Gomez Romero,Foul Received,Crossing,48;231,Defending Half,Penalty 5,,,,,,,,,,,,,,
Non Call (1),2068900,20000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Team,,Chukka 2,,,Non Call,Blocking,,,,,,,,,,,,,,,,,
Penalty 5,2071500,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5,Chukka 2,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Shot At Goal (4),2079133,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,,,93;35,Attacking 30,,,,,,,Shot At Goal,Wide,,,,,,,
Foul (9),2093566,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Lucas Diaz Alberdi,Foul,Reaching,96;30,Attacking 30,Penalty 5B,26;63,87;109,,,,,,,,,,,,
Foul Received (9),2093566,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Santiago Gomez Romero,Foul Received,Reaching,60;266,Defending 60,Penalty 5B,,,,,,,,,,,,,,
Yellow Card (2),2116566,10000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Lucas Diaz Alberdi,Yellow Card,Technical,,,Penalty 5B,,,,,,,,,,,,,,
Foul (10),2192500,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,Dutta Corp,,Chukka 2,,Facundo Obregon,Foul,Riding Player Over Right of Way,57;281,Defending 30,Penalty 30 yards,79;235,21;184,,,,,,,,,,,,
Foul Received (10),2192500,25000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Polito Pieres,Foul Received,Riding Player Over Right of Way,97;11,Attacking 30,Penalty 30 yards,,,,,,,,,,,,,,
Penalty 5b (3),2193100,30000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,Penalty 5b,Chukka 2,,Santiago Gomez Romero,,,,,,,,,,,,,,,,,,,
Challenge,2212013,150652,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,Challenge,Team,,Chukka 2,,,,,,,,,,,,,,,,,,,,,
Goal La Indiana (2),2337300,35000,USPA Gold Cup,Dutta Corp vs La Indiana,Quarter Final,Unknown,Search Livestream,March 15. 2020,Unknown,Unknown,Unknown,Live,2020,International Polo Club,,La Indiana,,Chukka 2,,Polito Pieres,,,76;2,Attacking 30,,,,Goal La Indiana,,,,,,,,,,,
