Name,Position,Duration,Game,Search Event,Umpire 2,Camera Angle,Club,Umpire 1,Instant Replay Official,Year,Stage,Match Date,Tournament,Third Umpire,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Foul,General Field Area,Location,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Collision,Knock-in Player 2,Highlight Reel,Assist Outcome,Assist,Penalty Block
Chukka Length,339633,224366,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Game Length,339633,6857533,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Game Length,,,,,,,,,,,,,,,,,,,,,,
Throw-in,339633,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Foul,344933,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending Half,122;180,Crossing,Penalty 60 yards,116;171,35;131,,,,,,,,,,,
Foul Received,344933,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,Foul Received,Attacking Half,22;115,Crossing,Penalty 60 yards,,,,,,,,,,,,,
Penalty 60 yards,422966,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,,,,,,,Penalty 60 yards,Wide,,,,,,,,,
Shot At Goal,442400,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,75;26,,,,,,,Shot At Goal,Blocked,,,,,,,
Knock In,445711,40000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Knock In,,David Stirling,,,,,,,,,,,,,,,,,,
Goal Dutta Corp,455733,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,76;6,,,,,,,,,Goal Dutta Corp,,,,,,
Foul (1),462166,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending 30,69;288,Right of Way,Penalty 1,76;58,29;244,,,,,,,,,,,
Foul Received (1),462166,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,Foul Received,Attacking 30,76;12,Right of Way,Penalty 1,,,,,,,,,,,,,
Penalty 1,480733,10000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,,,,,,,Penalty 1,Goal,,,,,,,,,
Penalty 5b,530100,30000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Penalty 5b,,Facundo Obregon,,,,,,,,,,,,,,,,,,
Collision,555400,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,Francisco Elizalde,,,,,,,,,,,,,Collision,,,,,
Injury Time,564100,184466,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Injury Time,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Chukka Length (1),751000,609266,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 1,,,,,,,,,,,,,,,,,,,,,
Throw-in (1),751000,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Foul (2),751366,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,Foul,Attacking Half,62;108,Dangerous Riding,Penalty 60 yards,26;107,94;106,,,,,,,,,,,
Foul Received (2),751366,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul Received,Defending Half,112;195,Dangerous Riding,Penalty 60 yards,,,,,,,,,,,,,
Penalty 60 yards (1),832061,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,Francisco Elizalde,,,,,,,,Penalty 60 yards,Wide,,,,,,,,,
Shot At Goal (1),857666,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,Attacking 30,80;21,,,,,,,Shot At Goal,Goal,,,,,,,
Knock In (1),859066,40000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Knock In,,Facundo Obregon,,,,,,,,,,,,,,Mariano Obregon,,,,
Goal Dutta Corp (1),859900,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,Attacking 30,76;7,,,,,,,,,Goal Dutta Corp,,,Goals,,,
Throw-in (2),943366,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Throw-in,Dutta Corp win throw-in,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,,
Foul (3),948433,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,Foul,Attacking Half,26;76,Dangerous Riding,Penalty 5,72;84,9;122,,,,,,,,,,,
Foul Received (3),948433,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul Received,Defending Half,128;226,Dangerous Riding,Penalty 5,,,,,,,,,,,,,
Penalty 5,982585,30000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Penalty 5,,David Stirling,,,,,,,,,,,,,,,,,,
Foul (4),999233,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending 60,71;262,Right of Way,Penalty 30 yards,125;217,52;242,,,,,,,,,,,
Foul Received (4),999233,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,Foul Received,Attacking 30,73;30,Right of Way,Penalty 30 yards,,,,,,,,,,,,,
Goal Dutta Corp (2),1041133,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Facundo Obregon,,Attacking 30,74;7,,,,,,,,,Goal Dutta Corp,,,,,,
Penalty 30 yards Spot,1063700,10000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Facundo Obregon,,,,,,,,Penalty 30 yards Spot,Goal,,,,,,,,,
Throw-in (3),1092294,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,Throw-in,Las Monjitas win throw-in,Mackenzie Weisz,,,,,,,,,,,,,,,,,,
Foul (5),1136666,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 1,,,David Stirling,Foul,Defending 60,46;271,Right of Way,Penalty 30 yards,109;247,32;217,,,,,,,,,,,
Foul Received (5),1136666,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Facundo Obregon,Foul Received,Attacking 30,109;27,Right of Way,Penalty 30 yards,,,,,,,,,,,,,
Goal Dutta Corp (3),1184133,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,Attacking 30,73;4,,,,,,,,,Goal Dutta Corp,,,,,,
Penalty 30 yards,1203066,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Mariano Obregon,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Throw-in (4),1236250,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Throw-in,Dutta Corp win throw-in,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,,
Shot At Goal (2),1247100,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,80;21,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (4),1249700,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,Attacking 30,71;4,,,,,,,,,Goal Dutta Corp,,,Goals,,,
Assist,1264800,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Facundo Obregon,,,,,,,,,,,,,,,,Successful,Facundo Obregon,
Shot At Goal (3),1291366,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Timmy Dutta,,Attacking 30,82;13,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (5),1292133,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Timmy Dutta,,Attacking 30,72;7,,,,,,,,,Goal Dutta Corp,,,Goals,,,
Throw-in (5),1302566,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,Throw-in,Dutta Corp win throw-in,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,,
Assist (1),1307466,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 1,,,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,Successful,Lucas Diaz Alberdi,
Chukka Length (2),1560400,681166,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,Chukka Length,Chukka 2,,,,,,,,,,,,,,,,,,,,,
Throw-in (6),1560400,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,Throw-in,Las Monjitas win throw-in,Francisco Elizalde,,,,,,,,,,,,,,,,,,
Non Call,1577666,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Team,,Chukka 2,,,,Non Call,,,Right of Way,,,,,,,,,,,,,,
Foul (6),1584200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Facundo Obregon,Foul,Defending 60,100;265,Right of Way,Penalty 30 yards,99;239,25;221,,,,,,,,,,,
Foul Received (6),1584200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,David Stirling,Foul Received,Attacking 30,49;29,Right of Way,Penalty 30 yards,,,,,,,,,,,,,
Goal Las Monjitas,1605333,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,Francisco Elizalde,,Attacking 30,72;3,,,,,,,,,Goal Las Monjitas,,,,,,
Penalty 30 yards (1),1624266,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,Francisco Elizalde,,,,,,,,Penalty 30 yards,Goal,,,,,,,,,
Foul (7),1667200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,Mackenzie Weisz,Foul,Defending Half,56;162,Riding Into Shot,Penalty 60 yards,114;171,27;143,,,,,,,,,,,
Foul Received (7),1667200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,Foul Received,Attacking Half,82;136,Riding Into Shot,Penalty 60 yards,,,,,,,,,,,,,
Throw-in (7),1667633,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,Throw-in,Dutta Corp win throw-in,Mariano Obregon,,,,,,,,,,,,,,,,,,
Penalty 60 yards (2),1738050,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,,,,,,,,Penalty 60 yards,Blocked,,,,,,,,,
Penalty Block,1744266,10000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,Mackenzie Weisz,,,,,,,,,,,,,,,,,,Penalty Block
Goal Dutta Corp (6),1770966,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,,Attacking 30,76;3,,,,,,,,,Goal Dutta Corp,,,,,,
Safety 60,1789091,15000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,,,,,,,,Safety 60,Goal,,,,,,,,,
Throw-in (8),1820966,20000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,Throw-in,Dutta Corp win throw-in,Lucas Diaz Alberdi,,,,,,,,,,,,,,,,,,
Foul (8),1874200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,Camilo Bautista,Foul,Attacking 60,72;58,Crossing,Penalty 5,123;95,51;90,,,,,,,,,,,
Foul Received (8),1874200,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Facundo Obregon,Foul Received,Defending 60,79;242,Crossing,Penalty 5,,,,,,,,,,,,,
Penalty 5 (1),1903033,30000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,Penalty 5,,Facundo Obregon,,,,,,,,,,,,,,,,,,
Foul (9),1920900,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Timmy Dutta,Foul,Attacking 30,124;21,Dangerous Riding,Penalty 5,140;31,35;54,,,,,,,,,,,
Foul Received (9),1920900,25000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,,,David Stirling,Foul Received,Defending 30,17;274,Dangerous Riding,Penalty 5,,,,,,,,,,,,,
Shot At Goal (4),1943466,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,,Attacking 30,73;20,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (7),1944933,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Mariano Obregon,,Attacking 30,78;6,,,,,,,,,Goal Dutta Corp,,,,,,
Penalty 5 (2),1956266,30000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Las Monjitas,,Chukka 2,Penalty 5,,David Stirling,,,,,,,,,,,,,,,,,,
Shot At Goal (5),1990700,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Timmy Dutta,,Attacking 30,87;22,,,,,,,Shot At Goal,Goal,,,,,,,
Goal Dutta Corp (8),1993000,35000,Dutta Corp vs Las Monjitas,Search Livestream,Unknown,Live,International Polo Club,Unknown,Unknown,2020,Group,March 08. 2020,USPA Gold Cup,Unknown,Dutta Corp,,Chukka 2,,,Timmy Dutta,,Attacking 30,75;6,,,,,,,,,Goal Dutta Corp,,,Goals,,,
