Name,Position,Duration,Camera Angle,Chukka,Club,Game,Goal,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Penalties,Penalty Outcome,Foul,Foul Outcome,Foul Type,General Field Area,Location,Chukka Length,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Assist,Assist Outcome,Knock-in Player 2,Umpire Focal,Umpire Trailing,Penalty Block,Highlight Reel,Collision
Goal Las Monjitas (3),109633,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,Goal Las Monjitas,Unknown,February 23. 2020,Mackenzie Weisz,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,,
Penalty 40 yards (1),129633,15000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,Penalty 40 yards,Goal,,,,,,,,,,,,,,,,,,
Foul (19),139633,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Livestream,Final,La Indiana,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,Foul,Penalty 40 yards,Unknown,Attacking 60,37;63,,,,,,,,,,,,,
Foul Received (19),139633,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Livestream,Final,Las Monjitas,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 40 yards,Unknown,Defending 60,119;238,,,,,,,,,,,,,
Chukka Length (3),146233,481675,Live,Chukka 1,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Chukka Length,,,,,,,,,,,,
Throw-in (9),148700,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Unknown,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,,,,,,,,
Game Length (1),148700,6860783,Live,,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Game Length,,,,,,,,,,,,
Throw-in,191000,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Shot At Goal,202866,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,120;12,,,,Shot At Goal,Wide,,,,,,,,
Assist,221200,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Francisco Elizalde,Unsuccessful,,,,,,
Knock In,250600,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Jeff Hall,,,,,
Non Call,266933,20000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,,Search Live stream,Final,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,,
Knock In (1),353966,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,,,,,,
Foul,372266,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul,Penalty 5B,Right of Way,Attacking 30,117;21,,,,,,,,,100;33,123;59,,,
Foul Received,372266,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 5B,Right of Way,Defending 30,29;279,,,,,,,,,,,,,
Shot At Goal (1),428866,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,46;25,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5b,434564,30000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5b,,,,,,,,,,,
Shot At Goal (2),471166,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Santiago Gomez Romero,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,98;31,,,,Shot At Goal,Wide,,,,,,,,
Knock In (2),476469,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Jeff Hall,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Polito Pieres,,,,,
Assist (1),486366,25000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Polito Pieres,Unsuccessful,,,,,,
Shot At Goal (3),517166,35000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,72;34,,,,Shot At Goal,Miss Hit,,,,,,,,
Knock In (3),517250,40000,Live,Chukka 1,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Francisco Elizalde,,,,,
Chukka Length (4),799600,590591,Live,Chukka 2,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Chukka Length,,,,,,,,,,,,
Throw-in (1),799600,20000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Jeff Hall,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Foul (1),836833,25000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul,Penalty 5,Dangerous Riding,Defending Half,99;202,,,,,,,,,26;208,60;181,,,
Foul Received (1),836833,25000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 5,Dangerous Riding,Attacking Half,52;97,,,,,,,,,,,,,
Shot At Goal (4),943366,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking Half,71;94,,,,Shot At Goal,Wide,,,,,,,,
Penalty 5,965806,30000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Penalty 5,,,,,,,,,,,
Knock In (4),987366,40000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Francisco Elizalde,,,,,
Shot At Goal (5),996633,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,84;33,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas,997333,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,Goal Las Monjitas,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,76;6,,,,,,,,,,,,,
Non Call (1),1010133,20000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,,Search Live stream,Final,Team,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Non Call,,Dangerous Riding,,,,,,,,,,,,,,,
Assist (2),1014166,25000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Mackenzie Weisz,Successful,,,,,,
Throw-in (2),1075766,20000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,,,,,,,,
Shot At Goal (6),1076866,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 60,137;51,,,,Shot At Goal,Blocked,,,,,,,,
Shot Block,1106433,10000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Michael Bickford,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,Shot Block,,
Shot At Goal (7),1125733,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,75;18,,,,Shot At Goal,Wide,,,,,,,,
Assist (3),1144933,25000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Francisco Elizalde,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Francisco Elizalde,Unsuccessful,,,,,,
Knock In (5),1170676,40000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Santiago Gomez Romero,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,Polito Pieres,,,,,
Shot At Goal (8),1215766,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking Half,59;89,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana,1220466,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,Goal La Indiana,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,73;6,,,,,,,,,,,,,
Shot At Goal (9),1261400,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 60,108;75,,,,Shot At Goal,Wide,,,,,,,,
Throw-in (3),1277150,20000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Shot At Goal (10),1292533,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking Half,57;84,,,,Shot At Goal,Wide,,,,,,,,
Knock In (6),1305566,40000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,,,,,,
Shot At Goal (11),1331366,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Jeff Hall,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking Half,97;80,,,,Shot At Goal,Goal,,,,,,,,
Goal La Indiana (1),1335033,35000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,Goal La Indiana,Unknown,February 23. 2020,Jeff Hall,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,73;4,,,,,,,,,,,,,
Knock In (7),1337400,40000,Live,Chukka 2,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Knock In,,,,,,,,,,,
Shot At Goal (12),1592033,35000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,82;20,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (1),1594033,35000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,Goal Las Monjitas,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,Attacking 30,73;4,,,,,,,,,,,,Goals,
Chukka Length (5),1604397,958486,Live,Chukka 3,International Polo Club,,,,,,Search Livestream,,Team,,USPA Gold Cup,,,2020,,,,,,,,Chukka Length,,,,,,,,,,,,
Throw-in (4),1604833,20000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Mackenzie Weisz,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,,,,,,,,
Foul (2),1649300,25000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul,Penalty 60 yards,Right of Way,Defending Half,50;170,,,,,,,,,21;116,45;168,,,
Foul Received (2),1649300,25000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Michael Bickford,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 60 yards,Right of Way,Attacking Half,107;134,,,,,,,,,,,,,
Throw-in (5),1650234,20000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Goal La Indiana (2),1736933,35000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,Goal La Indiana,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards,1753300,15000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Penalty 60 yards,Goal,,,,,,,,,,,,,,,,,,
Foul (3),1786566,25000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul,Penalty 60 yards,Dangerous Riding,Defending Half,28;161,,,,,,,,,31;117,48;171,,,
Foul Received (3),1786566,25000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,Foul Received,Penalty 60 yards,Dangerous Riding,Attacking Half,126;139,,,,,,,,,,,,,
Throw-in (6),1789833,20000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,David Stirling,Search Live stream,Final,Las Monjitas,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,Throw-in,La Indiana win throw-in,,,,,,,,,,
Goal La Indiana (3),1850100,35000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,Goal La Indiana,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),1867666,15000,Live,Chukka 3,International Polo Club,Las Monjitas vs La Indiana,,Unknown,February 23. 2020,Polito Pieres,Search Live stream,Final,La Indiana,Unknown,C.V. Whitney Cup,Unknown,Unknown,2020,Penalty 60 yards,Goal,,,,,,,,,,,,,,,,,,
