Name,Position,Duration,Camera Angle,Club,Instant Replay Official,Tournament,Year,Chukka,Third Umpire,Umpire 2,Umpire 1,Search Event,Game,Match Date,Stage,Set Play,Throw-in Outcome,Player,Team,Chukka Length,Foul,Foul Type,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Assist Outcome,Assist,Knock-in Player 2,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Foul (14),5434900,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul,Right of Way,,,73;51,Attacking 60,,,,,Penalty 5B,130;72,16;90,,,,,
Penalty 5b (2),5511100,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5b,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Foul Received (15),5519633,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,Foul Received,Right of Way,,,53;43,Attacking 60,,,,,Penalty 40 yards,,,,,,,
Foul (15),5519633,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul,Right of Way,,,53;239,Defending 60,,,,,Penalty 40 yards,93;235,55;186,,,,,
Goal Daily Racing Form (4),5582700,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,Goal Daily Racing Form,,,,,,,,,,,
Penalty 40 yards (1),5600833,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Throw-in (11),5640533,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Shot At Goal (20),5647933,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,Shot At Goal,Goal,73;3,Attacking 30,,,,,,,,,,,,
Goal Postage Stamp Farm (6),5648600,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,73;6,Attacking 30,Goal Postage Stamp Farm,,,,,,,,,,,
Assist (6),5664000,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,,,,,,,,Successful,Mariano Aguerre,,,,,,,,,
Throw-in (12),5787466,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Foul (16),5805800,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul,Blocking,,,23;217,Defending Half,,,,,Penalty 60 yards,14;185,98;186,,,,,
Foul Received (16),5805800,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul Received,Blocking,,,118;83,Attacking Half,,,,,Penalty 60 yards,,,,,,,
Goal Postage Stamp Farm (7),5865900,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,Goal Postage Stamp Farm,,,,,,,,,,,
Penalty 60 yards (4),5883666,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Throw-in (13),5921266,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Daily Racing Form win throw-in,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Foul Received (17),5922033,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,Foul Received,Right of Way,,,80;175,Defending Half,,,,,Penalty 60 yards,,,,,,,
Foul (17),5922033,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul,Right of Way,,,63;120,Attacking Half,,,,,Penalty 60 yards,38;126,124;170,,,,,
Goal Daily Racing Form (5),5965400,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,,,,,Goal Daily Racing Form,,,,,,,,,,,
Penalty 60 yards (5),5982913,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Foul Received (18),6014833,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul Received,Dangerous Use of Mallet,,,58;138,Attacking Half,,,,,Penalty 40 yards,,,,,,,
Foul (18),6014833,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,Foul,Dangerous Use of Mallet,,,87;162,Defending Half,,,,,Penalty 40 yards,120;179,20;130,,,,,
Throw-in (14),6017200,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Injury Time,6030533,298666,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Injury Time,,,,,,,,,,,,,,,,,,
Chukka Length (5),6332066,282251,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Yellow Card,6333900,10000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,Yellow Card,Dangerous Use of Mallet,,,,,,,,,,,,,,,,
Goal Daily Racing Form (6),6376900,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,Goal Daily Racing Form,,,,,,,,,,,
Penalty 40 yards (2),6395050,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,
Throw-in (15),6432566,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,119;108,Attacking Half,,,,,,,,,,,,
Foul (19),6463466,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,Foul,Crossing,,,22;95,Attacking Half,,,,,Penalty 5,71;170,135;144,,,,,
Foul Received (19),6463466,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,Foul Received,Crossing,,,121;207,Defending Half,,,,,Penalty 5,,,,,,,
Shot At Goal (21),6559200,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,Shot At Goal,Goal,76;24,Attacking 30,,,,,,,,,,,,
Goal Postage Stamp Farm (8),6560166,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,73;7,Attacking 30,Goal Postage Stamp Farm,,,,,,,,,,,
Penalty 5 (5),6578133,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 5,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5,,Mariano Aguerre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Throw-in (16),6777000,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Daily Racing Form win throw-in,Costi Caset,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Chukka Length (6),6777000,63266,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Free Hit (2),6803433,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Free Hit,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Collision,6836566,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,Collision
Injury Time (1),6840266,214666,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Injury Time,,,,,,,,,,,,,,,,,,
Foul (20),7047933,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,Foul,Technical,,,119;243,Defending 60,,,,,Penalty 60 yards,115;222,118;218,,,,,
Chukka Length (7),7055200,334000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Penalty 60 yards (6),7112066,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Penalty Block (1),7117933,10000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,,,,,,,,,,,,,,,,,Penalty Block,
Safety 60,7183566,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,Safety 60,Wide,,,
Knock In (10),7207233,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Shot At Goal (22),7343833,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,Shot At Goal,Wide,76;115,Attacking Half,,,,,,,,,,,,
Injury Time (2),7389800,79033,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Injury Time,,,,,,,,,,,,,,,,,,
Chukka Length (8),7459966,298807,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Knock In (11),7467958,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Foul Received (20),7472766,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,Foul Received,Crossing,,,28;116,Attacking Half,,,,,Penalty 5,,,,,,,
Foul (21),7472766,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,Foul,Crossing,,,28;116,Attacking Half,,,,,Penalty 5,5;97,93;48,,,,,
Penalty 5 (6),7510966,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Shot At Goal (23),7521500,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,Shot At Goal,Wide,80;18,Attacking 30,,,,,,,,,,,,
Knock In (12),7564633,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Shot At Goal (24),7601666,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,Shot At Goal,Wide,60;16,Attacking 30,,,,,,,,,,,,
Assist (7),7617100,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,,,,,,,,Unsuccessful,Mariano Aguerre,,,,,,,,,
Knock In (13),7641966,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,Agustin Obregon,,,,,,,,
Foul Received (21),7662166,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul Received,Blocking,,,121;207,Defending Half,,,,,Penalty 5,,,,,,,
Foul (22),7662166,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul,Blocking,,,28;93,Attacking Half,,,,,Penalty 5,70;112,6;135,,,,,
Penalty 5 (7),7714233,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 6,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,